BVAExport,Image,Gel_1_Run_1_Pig_1807_45034 CY3.gel,,Gel_1_Run_1_Pig_1807_45034 CY5.gel,,Gel_1_Run_2_Pig_1807_45046 CY3.gel,,Gel_1_Run_2_Pig_1807_45046 CY5.gel,,Gel_2_Run_2_Pig_4810_45047 CY3.gel,,Gel_2_Run_2_Pig_4810_45047 CY5.gel,,Gel_2_Run_2_Pig_4810_45047 CY3.gel,,Gel_2_Run_2_Pig_4810_45047 CY5.gel,,Gel_3_Run_1_Pig_1209_45036 CY3.gel,,Gel_3_Run_1_Pig_1209_45036 CY5.gel,,Gel_3_Run_2_Pig_1209_45048 CY3.gel,,Gel_3_Run_2_Pig_1209_45048 CY5.gel,,Gel_4_Run_1_Pig_1906_45037 CY3.gel,,Gel_4_Run_1_Pig_1906_45037 CY5.gel,,Gel_4_Run_2_Pig_1906_45049 CY3.gel,,Gel_4_Run_2_Pig_1906_45049 CY5.gel,,Gel_5_Run_1_Pig_3908_45038 CY3.gel,,Gel_5_Run_1_Pig_3908_45038 CY5.gel,,Gel_5_Run_2_Pig_3908_45050 CY3.gel,,Gel_5_Run_2_Pig_3908_45050 CY5.gel,,Gel_6_Run_1_Pig_3106_45039 CY3.gel,,Gel_6_Run_1_Pig_3106_45039 CY5.gel,,Gel_6_Run_2_Pig_3106_45051 CY3.gel,,Gel_6_Run_2_Pig_3106_45051 CY5.gel,,Gel_7_Run_1_Pig_2107_45040 CY3.gel,,Gel_7_Run_1_Pig_2107_45040 CY5.gel,,Gel_7_Run_2_Pig_2107_45052 CY3.gel,,Gel_7_Run_2_Pig_2107_45052 CY5.gel,,Gel_8_Run_1_Pig_2712_45041 CY3.gel,,Gel_8_Run_1_Pig_2712_45041 CY5.gel,,Gel_8_Run_2_Pig_2712_44495 CY3.gel,,Gel_8_Run_2_Pig_2712_44495 CY5.gel,
,Group,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,,Whole,,Depleted,,Whole,,Depleted,,Depleted,,Whole,,Depleted,,Whole,
Master No.,ProteinID,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume,Std Abund.,Volume
465,,-1.705492,86725,2.897132,2351521,,,,,3.478396,2811833,-2.62194,13740,4.747752,6478431,-2.139237,29199,-1.344611,101484,-1.548444,1121501,,,,,2.23186,11899824,-2.112136,100277,2.325223,2882088,-2.248728,18766,-1.475176,102097,3.910691,4596863,-1.975323,183972,3.448141,5552319,3.394915,4134141,1.524984,75088,3.20562,4382391,-1.210205,59501,,,,,,,,,2.852011,5543079,1.008188,91738,2.928049,5185140,-1.061849,84727
463,,1.540114,320936,1.406263,1608121,,,,,3.275835,6417453,1.794271,156649,3.275835,6417453,1.746795,156649,5.099735,166547,1.375877,571834,1.207606,637309,-3.143389,568735,3.9303,7990512,1.451701,117240,4.014467,5491066,1.821092,84806,2.392847,181761,3.139522,1861232,1.835997,222464,3.06815,1647267,3.631717,2710125,3.183054,96044,2.688267,1671870,2.074774,67965,-2.045509,104681,-1.059636,1057210,1.101148,163686,2.399215,3087606,4.231453,7264602,1.524273,122516,4.494635,5060748,1.462672,83670
462,,-3.053772,245308,2.131257,8761339,-3.378565,340403,3.37916,10085494,4.426758,21814553,-2.638795,83225,4.426758,21814553,-2.710515,83225,,,,,-1.116491,561692,-1.523819,1394131,,,,,1.821693,6622798,-1.949701,63484,-1.433811,380125,3.370193,14335881,-1.959392,398979,3.3101,11466002,3.164788,14558401,-1.542153,120612,2.799113,10433434,-1.99703,98312,,,,,,,,,4.109439,24425893,-2.251496,123596,3.772025,13819315,-2.362405,78788
461,,2.326076,721166,-13.149744,129384,2.408068,517788,-7.449934,74902,,,,,,,,,4.9219,529680,-6.438817,212704,2.226811,586934,-2.244989,397718,,,,,,,,,4.669587,797099,-10.529354,126527,3.631968,593429,-9.527554,75988,-2.310078,432910,10.278569,415629,-2.782025,337741,7.906982,391327,,,,,,,,,-1.401451,1032770,10.36373,702272,-1.570083,639322,9.842028,501914
456,,,,,,,,,,,,,,,,,,,,,,1.099374,232831,-2.195852,326720,2.438546,1330498,-1.320117,16418,2.321734,839805,-2.410911,5108,1.954155,72383,-1.010791,286001,,,,,1.753109,926346,3.314172,70809,1.559569,704760,2.005847,47744,1.599636,54766,4.064353,727998,,,,,2.216037,1702503,3.368253,121150,2.527699,849439,3.550288,60614
455,,,,,,-4.084808,10089,7.291053,779781,,,,,7.406548,2058040,-2.835461,4486,-1.33249,9207,1.529346,238775,,,,,3.539932,791500,-1.530306,5804,3.404286,927078,-1.987488,4665,-1.773905,12252,3.767282,639023,-3.519722,9919,3.448214,533421,3.085608,775071,-1.282079,7922,3.557465,695958,-1.813852,5681,,,,,,,,,3.952878,696867,-1.657353,4980,,,,
444,,,,,,,,,,2.060921,317730,1.902886,13074,2.060921,317730,1.852536,13074,,,,,,,,,2.188462,830351,2.254903,33986,1.659007,358003,1.41039,10362,,,,,,,,,1.409097,298084,2.395962,20494,1.501077,334323,1.198499,14060,,,,,,,,,-2.281398,82723,-2.979959,2965,1.77111,385223,1.137358,12568
443,,,,,,-1.403607,85491,5.528376,1721576,,,,,8.808821,4707539,1.164544,28489,,,,,-5.495545,31343,1.116816,651653,2.026871,729326,1.522487,21762,2.315588,645124,1.308771,12414,1.822701,67209,3.815214,1097949,1.129454,102573,4.136666,1664618,2.330134,857303,1.640837,24410,3.351132,1044219,1.540073,25277,,,,,-1.967348,14787,3.509265,883821,1.594026,496686,1.253226,18282,2.012542,469970,1.632768,19371
441,,,,,,-1.122386,195455,6.610571,3763488,8.808821,4707539,1.196195,28489,8.480639,11771370,-1.251195,50783,3.725901,185519,1.434803,909181,-4.44362,7955,1.403455,168058,2.757601,2832887,1.36355,55644,2.967242,2648179,-1.02176,29738,,,,,-1.146928,157782,4.780702,3833408,3.772634,4113980,1.282617,56554,3.899452,3963689,-1.140683,46937,,,,,,,,,2.361295,1965567,1.071633,41763,2.357994,1646390,-1.137707,31179
439,,,,,,-2.027191,31814,2.63,440181,,,,,,,,,2.404586,40134,1.483844,315182,1.607992,137968,1.406788,408890,2.054589,729642,1.205927,17012,1.871326,593624,-1.158064,9326,,,,,,,,,1.659074,611039,-1.200675,12403,1.798752,483731,-1.957845,7235,,,,,,,,,1.321679,396416,-1.254546,11193,,,,
